ds,yhat
2024-11-19 02:15:00,1.9372666
2024-11-19 02:20:00,1.7933978
2024-11-19 02:25:00,1.7820795
2024-11-19 02:30:00,1.8340459
2024-11-19 02:35:00,1.865815
2024-11-19 02:40:00,1.8833791
2024-11-19 02:45:00,1.8642868
2024-11-19 02:50:00,1.8444303
2024-11-19 02:55:00,1.886475
2024-11-19 03:00:00,1.8743107
2024-11-19 03:05:00,1.7761742
2024-11-19 03:10:00,1.942804
2024-11-19 03:15:00,1.8470235
2024-11-19 03:20:00,1.8762318
2024-11-19 03:25:00,1.699262
2024-11-19 03:30:00,1.7767906
2024-11-19 03:35:00,1.7777878
2024-11-19 03:40:00,1.8154099
2024-11-19 03:45:00,1.6635793
2024-11-19 03:50:00,1.7706522
2024-11-19 03:55:00,1.7493478
2024-11-19 04:00:00,1.734122
2024-11-19 04:05:00,1.8039057
2024-11-19 04:10:00,2.0051093
2024-11-19 04:15:00,2.0015953
2024-11-19 04:20:00,1.9152952
2024-11-19 04:25:00,2.0262277
2024-11-19 04:30:00,1.9584532
2024-11-19 04:35:00,1.9876925
2024-11-19 04:40:00,2.0934148
2024-11-19 04:45:00,1.99953
2024-11-19 04:50:00,1.9946753
2024-11-19 04:55:00,1.9855253
2024-11-19 05:00:00,1.8101584
2024-11-19 05:05:00,1.9388368
2024-11-19 05:10:00,2.1442637
2024-11-19 05:15:00,2.200976
2024-11-19 05:20:00,2.310128
2024-11-19 05:25:00,2.392254
2024-11-19 05:30:00,2.5109148
2024-11-19 05:35:00,2.47818
2024-11-19 05:40:00,2.5592253
2024-11-19 05:45:00,2.6578138
2024-11-19 05:50:00,2.6731164
2024-11-19 05:55:00,2.8923957
2024-11-19 06:00:00,2.9267218
2024-11-19 06:05:00,3.2990086
2024-11-19 06:10:00,3.397139
2024-11-19 06:15:00,4.0692067
2024-11-19 06:20:00,4.232714
2024-11-19 06:25:00,4.3920956
2024-11-19 06:30:00,4.844827
2024-11-19 06:35:00,5.0607886
2024-11-19 06:40:00,5.862627
2024-11-19 06:45:00,6.323502
2024-11-19 06:50:00,7.038219
2024-11-19 06:55:00,7.3695173
2024-11-19 07:00:00,8.320711
2024-11-19 07:05:00,8.814685
2024-11-19 07:10:00,12.04066
2024-11-19 07:15:00,12.453822
2024-11-19 07:20:00,15.054096
2024-11-19 07:25:00,16.01725
2024-11-19 07:30:00,16.736938
2024-11-19 07:35:00,17.765623
2024-11-19 07:40:00,23.754665
2024-11-19 07:45:00,26.057571
2024-11-19 07:50:00,28.411804
2024-11-19 07:55:00,31.290024
2024-11-19 08:00:00,33.517284
2024-11-19 08:05:00,37.41019
2024-11-19 08:10:00,55.58738
2024-11-19 08:15:00,66.2347
2024-11-19 08:20:00,68.08645
2024-11-19 08:25:00,69.38261
2024-11-19 08:30:00,67.49063
2024-11-19 08:35:00,72.17967
